Name of College,Email
Fresno Pacific University,admissions@fresno.edu 
Fresno City College,admissions@fresnocitycollege.edu 
Frederick Taylor University,admissions@ftu.edu 
Fullerton  College,admissions@fullcoll.edu 
Fuller Theological Seminary,admissions@fuller.edu 
California State University Fullerton,admissions@fullerton.edu 
Gavilan College,admissions@gavilan.edu 
Golden Gate Baptist Theological Seminary,admissions@ggbts.edu 
Glendale Community College,admissions@glendale.edu 
Gnomon School of Visual Effects,admissions@gnomon.edu 
Columbia College,admissions@gocolumbia.edu 
Golden West College,admissions@goldenwestcollege.edu 
Grossmont College,admissions@grossmont.edu 
Allan Hancock College,admissions@hancockcollege.edu 
Hartnell College,admissions@hartnell.edu 
Henley-Putnam University,admissions@henley-putnam.edu 
Harvey Mudd College,admissions@hmc.edu 
Holy Names University,admissions@hnu.edu 
Humboldt State University,admissions@humboldt.edu 
Humphreys College,admissions@humphreys.edu 
Imperial Valley College,admissions@imperial.edu 
International Sports Sciences Association,admissions@issaonline.edu 
International Technological University,admissions@itu.edu 
Irvine Valley College,admissions@ivc.edu 
William Jessup University,admissions@jessup.edu 
John F. Kennedy University,admissions@jfku.edu 
Keck Graduate Institute,admissions@kgi.edu 
Mount Saint Mary’s College,admissions@la.edu 
Los Angeles Community College District,admissions@laccd.edu 
Los Angeles City College,admissions@lacitycollege.edu 
Los Angeles Harbor College,admissions@lahc.edu 
Los Angeles Mission College,admissions@lamission.edu 
Laney  College,admissions@laney.edu 
Los Angeles Southwest College,admissions@lasc.edu 
La Sierra University,admissions@lasierra.edu 
Las Positas College,admissions@laspositascollege.edu 
Los Angeles Trade-Tech Community College,admissions@lattc.edu 
Laurus College,admissions@lauruscollege.edu 
Los Angeles Valley College,admissions@lavc.edu 
University of La Verne,admissions@laverne.edu 
UCLA School of Law,admissions@ucla.edu 
Long Beach City College,admissions@lbcc.edu 
Life Chiropractic College West,admissions@lifewest.edu 
Loma Linda University,admissions@llu.edu 
Loyola Marymount University,admissions@lmu.edu 
Los Medanos College,admissions@losmedanos.edu 
Los Rios Community College District,admissions@losrios.edu 
Lake Tahoe Community College,admissions@ltcc.edu 
College of Marin,admissions@marin.edu 
Marymount California University,admissions@marymountcalifornia.edu 
The Master’s College,admissions@masters.edu 
Merced Community College,admissions@mccd.edu 
Mills College,admissions@mills.edu 
MiraCosta College,admissions@miracosta.edu 
Modesto Junior College,admissions@mjc.edu 
Mount San Jacinto College,admissions@msjc.edu 
Mount San Antonio College,admissions@mtsac.edu 
Napa Valley College,admissions@napavalley.edu 
Notre Dame de Namur University,admissions@ndnu.edu 
NewSchool of Architecture and Design,admissions@newschoolarch.edu 
Norco College,admissions@norcocollege.edu 
Naval Postgraduate School,admissions@nps.edu 
Ohlone College,admissions@ohlone.edu 
Orange Coast College,admissions@orangecoastcollege.edu 
Otis College of Art and Design,admissions@otis.edu 
Occidental College,admissions@oxy.edu 
University of the Pacific,admissions@pacific.edu 
Pacific College of Oriental Medicine,admissions@pacificcollege.edu 
Palomar College,admissions@palomar.edu 
Pasadena City College,admissions@pasadena.edu 
Pepperdine University,admissions@pepperdine.edu 
Peralta Community College District,admissions@peralta.edu 
Pierce College,admissions@piercecollege.edu 
Pitzer College,admissions@pitzer.edu 
Pacific Lutheran  Theological Seminary,admissions@plts.edu 
Point Loma Nazarene University,admissions@pointloma.edu 
Pomona College,admissions@pomona.edu 
Porterville College,admissions@portervillecollege.edu 
Pacific School of Religion,admissions@psr.edu 
Riverside City College,admissions@rcc.edu 
Riverside Community College District,admissions@rccd.edu 
University of Redlands,admissions@redlands.edu 
College of the Redwoods,admissions@redwoods.edu 
Rio Hondo College,admissions@riohondo.edu 
Rosemead College,admissions@rosemeadcollege.edu 
Santa Ana College,admissions@sac.edu 
Saddleback College,admissions@saddleback.edu 
University of San Diego,admissions@sandiego.edu 
Santa Rosa Junior College,admissions@santarosa.edu 
Santa Barbara City College,admissions@sbcc.edu 
School of Continuing Education,admissions@sce.edu 
Scripps College,admissions@scrippscollege.edu 
Santa Clara University,admissions@scu.edu 
Southern California University of Health Sciences,admissions@scuhs.edu 
San Diego City College,admissions@sdcity.edu 
San Diego Mesa College,admissions@sdmesa.edu 
San Diego State University,admissions@sdsu.edu 
San Francisco State University,admissions@sfsu.edu 
Shasta College,admissions@shastacollege.edu 
The Institute of Buddhist Studies,admissions@shin-ibs.edu 
Sierra College,admissions@sierracollege.edu 
Simpson University,admissions@simpsonu.edu 
College of the Siskiyous,admissions@siskiyous.edu 
San Jose State University,admissions@sjsu.edu 
Starr King School for the Ministry,admissions@sksm.edu 
Skyline College,admissions@skylinecollege.edu 
Santa Monica College,admissions@smc.edu 
San Mateo County Community College,admissions@smccd.edu 
Soka University of America,admissions@soka.edu 
Solano Community College,admissions@solano.edu 
Sonoma State University,admissions@sonoma.edu 
Stanford University,admissions@stanford.edu 
Saint Mary’s College,admissions@stmarys-ca.edu 
Taft College,admissions@taftcollege.edu 
Touro University California,admissions@tu.edu 
University of California Davis,admissions@ucdavis.edu 
University of California Hastings College of the Law,admissions@uchastings.edu 
University of California Irvine,admissions@uci.edu 
University of California Los Angeles,admissions@ucla.edu 
University of California Los Angeles Extension,admissions@uclaextension.edu 
University of California Merced,admissions@ucmerced.edu 
University of California,admissions@ucop.edu 
University of California Press,admissions@ucpress.edu 
University of California Riverside,admissions@ucr.edu 
University of California Santa Barbara,admissions@ucsb.edu 
University of California Santa Cruz,admissions@ucsc.edu 
University of California Santa Cruz Silicon Valley Extension,admissions@ucsc-extension.edu 
University of California San Diego,admissions@ucsd.edu 
University of California San Francisco,admissions@ucsf.edu 
University of California,admissions@universityofcalifornia.edu 
University of the Pacific,admissions@uop.edu 
University of Southern California,admissions@usc.edu 
University of San Francisco,admissions@usfca.edu 
San Bernardino Valley College,admissions@valleycollege.edu 
Ventura College,admissions@venturacollege.edu 
Victor Valley College,admissions@vvc.edu 
West Coast Baptist College,admissions@wcbc.edu 
Western University of Health Sciences,admissions@westernu.edu 
Westmont College,admissions@westmont.edu 
West Valley College,admissions@westvalley.edu 
West Hills Community College District,admissions@whccd.edu 
Whittier College,admissions@whittier.edu 
West Los Angeles College,admissions@wlac.edu 
Yuba Community College District,admissions@yccd.edu 
Yosemite Community College District,admissions@yosemite.edu 
Unitek College,admissions@unitekcollege.edu 
Vanguard University,admissions@vanguard.edu 
Southwestern College,admissions@swcc.edu 
Monterey Institute of International Studies,admissions@miis.edu 
Adams State University,admissions@adams.edu 
Auraria Higher Education Center,admissions@ahec.edu 
Aims Community College,admissions@aims.edu 
Arapahoe Community College,admissions@arapahoe.edu 
Community College of Aurora,admissions@ccaurora.edu 
Community College of Denver,admissions@ccd.edu 
Colorado Heights University,admissions@chu.edu 
University of Colorado Boulder,admissions@colorado.edu 
Colorado College,admissions@coloradocollege.edu 
Colorado Mesa University,admissions@coloradomesa.edu 
Colorado State University,admissions@colostate.edu 
Colorado State University-Pueblo,admissions@colostate-pueblo.edu 
University of Denver,admissions@du.edu 
Fort Lewis College,admissions@fortlewis.edu 
Front Range Community College,admissions@frontrange.edu 
Jones International University,admissions@jiu.edu 
Colorado School of Mines,admissions@mines.edu 
Metropolitan State University of Denver,admissions@msudenver.edu 
Naropa University,admissions@naropa.edu 
Pikes Peak Community College,admissions@ppcc.edu 
Pueblo Community College,admissions@pueblocc.edu 
Redstone College,admissions@redstone.edu 
Regis University,admissions@regis.edu 
University of the Rockies,admissions@rockies.edu 
Red Rocks Community College,admissions@rrcc.edu 
William Howard Taft University,admissions@taft.edu 
University Corporation for Atmospheric Research,admissions@ucar.edu 
University of Colorado Colorado Springs,admissions@uccs.edu 
University of Colorado Denver,admissions@ucdenver.edu 
University of Northern Colorado,admissions@unco.edu 
University of Colorado,admissions@cu.edu 
Western State Colorado University,admissions@western.edu 
Albertus Magnus College,admissions@albertus.edu 
Asnuntuck Community College,admissions@asnuntuck.edu 
Connecticut College,admissions@conncoll.edu 
Eastern Connecticut State University,admissions@easternct.edu 
Fairfield University,admissions@fairfield.edu 
Goodwin College,admissions@goodwin.edu 
University of Hartford,admissions@hartford.edu 
Hartford Seminary,admissions@hartsem.edu 
University of New Haven,admissions@newhaven.edu 
Queens University of Charlotte,admissions@quinnipiac.edu 
Quinebaug Valley Community College,admissions@qvcc.edu 
Sacred Heart University,admissions@sacredheart.edu 
Southern Connecticut State University,admissions@southernct.edu 
Three Rivers Community College,admissions@threerivers.edu 
Trinity College,admissions@trincoll.edu 
Tunxis Community College,admissions@tunxis.edu 
University of Connecticut Health Center,admissions@uchc.edu 
University of Connecticut,admissions@uconn.edu 
University of Saint Joseph Connecticut,admissions@usj.edu 
Western Connecticut State University,admissions@wcsu.edu 
Wesleyan University,admissions@wesleyan.edu 
Yale University,admissions@yale.edu 
American University,admissions@american.edu 
Carnegie Institution for Science,admissions@carnegiescience.edu 
The Catholic University of America,admissions@cua.edu 
Gallaudet University,admissions@gallaudet.edu 
Georgetown University,admissions@georgetown.edu 
The George Washington University,admissions@gwu.edu 
Howard University,admissions@howard.edu 
Johns Hopkins School of Advanced International Studies,admissions@sais-jhu.edu 
University of California Washington Center,admissions@ucdc.edu 
University of the District of Columbia,admissions@udc.edu 
Delaware State University,admissions@desu.edu 
Delaware Technical Community College,admissions@dtcc.edu 
Goldey-Beacom College,admissions@gbc.edu 
University of Delaware,admissions@udel.edu 
Wesley College,admissions@wesley.edu 
Wilmington University,admissions@wilmu.edu 
Carlos Albizu University,admissions@albizu.edu 
Acupuncture Massage College,admissions@amcollege.edu 
Atlantic Institute of Oriental Medicine,admissions@atom.edu 
Barry University,admissions@barry.edu 
Broward College,admissions@broward.edu 
College of Central Florida,admissions@cf.edu 
Chipola College,admissions@chipola.edu 
Bethune-Cookman University,admissions@cookman.edu 
Dade Medical College,admissions@dadmedical.edu 
Daytona State College,admissions@daytonastate.edu 
Eckerd College,admissions@eckerd.edu 
Edison State College,admissions@edison.edu 
Embry-Riddle Aeronautical University,admissions@erau.edu 
Everglades University,admissions@evergladesuniversity.edu 
Florida Atlantic University,admissions@fau.edu 
Florida Gulf Coast University,admissions@fgcu.edu 
Florida Institute of Technology,admissions@fit.edu 
Florida International University,admissions@fiu.edu 
Flagler College,admissions@flagler.edu 
Florida Southern College,admissions@flsouthern.edu 
Florida National University,admissions@fnu.edu 
Florida State College at Jacksonville,admissions@fscj.edu 
Florida State University,admissions@fsu.edu 
Gulf Coast State College,admissions@gulfcoast.edu 
Hillsborough Community College,admissions@hccfl.edu 
Jacksonville University,admissions@ju.edu 
Keiser University,admissions@keiseruniversity.edu 
Loraines Academy Incorporated,admissions@lorainesacademy.edu 
Lake Sumter State College,admissions@lssc.edu 
Lynn University,admissions@lynn.edu 
Millennia Atlantic University,admissions@maufl.edu 
Miami Dade College,admissions@mdc.edu 
University of Miami,admissions@miami.edu 
Miami International University of Art and Design,admissions@mymiu.edu 
New College of Florida,admissions@ncf.edu 
North Florida Community College,admissions@nfcc.edu 
Nova Southeastern University,admissions@nova.edu 
National University of Health Sciences,admissions@nuhs.edu 
Northwest Florida State College,admissions@nwfsc.edu 
Palm Beach State College,admissions@palmbeachstate.edu 
Palm Beach Atlantic University,admissions@pba.edu 
Pensacola State College,admissions@pensacolastate.edu 
Pasco-Hernando State College,admissions@phsc.edu 
Ringling College of Art and Design,admissions@ringling.edu 
Rollins College,admissions@rollins.edu 
Saint Leo University,admissions@saintleo.edu 
State College of Florida,admissions@scf.edu 
Seminole State College of Florida,admissions@seminolestate.edu 
Santa Fe College,admissions@sfcollege.edu 
South Florida State College,admissions@southflorida.edu 
Space Coast Health Institute,admissions@spacecoast.edu 
Saint Petersburg College,admissions@spcollege.edu 
Stetson University,admissions@stetson.edu 
Saint Thomas University,admissions@stu.edu 
Saint Vincent de Paul Regional Seminary,admissions@svdp.edu 
Traviss Career Center,admissions@traviss.edu 
University of Central Florida,admissions@ucf.edu 
University of Florida,admissions@ufl.edu 
University of North Florida,admissions@unf.edu 
University of South Florida,admissions@usf.edu 
University of South Florida Sarasota-Manatee,admissions@usfsm.edu 
University of South Florida Saint Petersburg,admissions@usfsp.edu 
University of Tampa,admissions@ut.edu 
University of West Florida,admissions@uwf.edu 
Valencia College,admissions@valenciacollege.edu 
Warner University,admissions@warner.edu 
Webber International University,admissions@webber.edu 
Agnes Scott College,admissions@agnesscott.edu 
Albany Technical College,admissions@albanytech.edu 
Armstrong Atlantic State University,admissions@armstrong.edu 
Atlanta Technical College,admissions@atlantatech.edu 
Atlanta Metropolitan State College,admissions@atlm.edu 
Berry College,admissions@berry.edu 
Carver College,admissions@carver.edu 
Child Care Education Institute,admissions@cceionline.edu 
Central Georgia Technical College,admissions@centralgatech.edu 
Clayton State University,admissions@clayton.edu 
Columbus State University,admissions@columbusstate.edu 
Columbus Technical College,admissions@columbustech.edu 
Covenant College,admissions@covenant.edu 
Dalton State,admissions@daltonstate.edu 
Darton State College,admissions@darton.edu 
East Georgia State College,admissions@ega.edu 
Emory University,admissions@emory.edu 
Georgia Institute of Technology,admissions@gatech.edu 
Georgia College,admissions@gcsu.edu 
Georgia Southern University,admissions@georgiasouthern.edu 
Georgia Gwinnett College,admissions@ggc.edu 
Georgia Perimeter College,admissions@gpc.edu 
Georgia Regents University Augusta,admissions@gru.edu 
Georgia State University,admissions@gsu.edu 
Georgia South Western State University,admissions@gsw.edu 
Interactive College of Technology,admissions@ict.edu 
Atlanta’s John Marshall Law School,admissions@johnmarshall.edu 
Kennesaw State University,admissions@kennesaw.edu 
Lanier Technical College,admissions@laniertech.edu 
Life University,admissions@life.edu 
Mercer University,admissions@mercer.edu 
Middle Georgia State College,admissions@mga.edu 
Morehouse College,admissions@morehouse.edu 
Morehouse School of Medicine,admissions@msm.edu 
North Georgia Technical College,admissions@northgatech.edu 
Oglethorpe University,admissions@oglethorpe.edu 
Okefenokee Technical College,admissions@okefenokeetech.edu 
Paine College,admissions@paine.edu 
Pfeiffer University,admissions@pfeiffer.edu 
Piedmont College,admissions@piedmont.edu 
Reinhardt University,admissions@reinhardt.edu 
Savannah State University,admissions@savannahstate.edu 
Savannah College of Art and Design,admissions@scad.edu 
Shorter University,admissions@shorter.edu 
Southeastern Technical College,admissions@southeasterntech.edu 
Spelman College,admissions@spelman.edu 
Southern Polytechnic State University,admissions@spsu.edu 
Thomas University,admissions@thomasu.edu 
University of Georgia,admissions@uga.edu 
University of North Georgia,admissions@ung.edu 
University System of Georgia,admissions@usg.edu 
Valdosta State University,admissions@valdosta.edu 
University of West Georgia,admissions@westga.edu 
Wiregrass Georgia Technical College,admissions@wiregrass.edu 
Brigham Young University Hawaii,admissions@byuh.edu 
Chaminade University,admissions@chaminade.edu 
University of Hawaii at Manoa,admissions@hawaii.edu 
Mid-Pacific Institute,admissions@midpac.edu 
AIB College of Business,admissions@aib.edu 
Central College,admissions@central.edu 
Coe College,admissions@coe.edu 
Cornell College,admissions@cornellcollege.edu 
Des Moines Area Community College,admissions@dmacc.edu 
Dordt College,admissions@dordt.edu 
Drake University,admissions@drake.edu 
Divine Word College,admissions@dwci.edu 
Eastern Iowa Community Colleges,admissions@eicc.edu 
Grinnell College,admissions@grinnell.edu 
Hawkeye Community College,admissions@hawkeyecollege.edu 
Iowa State University,admissions@iastate.edu 
Iowa Central Community College,admissions@iowacentral.edu 
Iowa Wesleyan College,admissions@iwc.edu 
Iowa Western Community College,admissions@iwcc.edu 
Kaplan University,admissions@kaplanuniversity.edu 
Kirkwood Community College,admissions@kirkwood.edu 
La’ James College,admissions@lajames.edu 
Loras College,admissions@loras.edu 
Luther College,admissions@luther.edu 
Maharishi University of Management,admissions@mum.edu 
Northeast Iowa Community  College,admissions@nicc.edu 
Palmer College of Chiropractic,admissions@palmer.edu 
Saint Ambrose University,admissions@sau.edu 
Simpson College,admissions@simpson.edu 
Southwestern Community College,admissions@swcciowa.edu 
Univeristy of Iowa,admissions@uiowa.edu 
Upper Iowa University,admissions@uiu.edu 
University of Northern Iowa,admissions@uni.edu 
Wartburg College,admissions@wartburg.edu 
Waldorf College,admissions@waldorf.edu 
Boise State University,admissions@boisestate.edu 
Brigham Young University Idaho,admissions@byui.edu 
The College of Idaho,admissions@collegeofidaho.edu 
College of Southern Idaho,admissions@csi.edu 
Idaho State University,admissions@isu.edu 
University of Idaho,admissions@uidaho.edu 
Augustana College,admissions@augustana.edu 
Aurora University,admissions@aurora.edu 
Benedictine University,admissions@ben.edu 
Bradley University,admissions@bradley.edu 
City Colleges of Chicago,admissions@ccc.edu 
The University of Chicago Booth School of Business,admissions@chicagobooth.edu 
College of Lake County,admissions@clcillinois.edu 
College of DuPage,admissions@cod.edu 
Columbia College Chicago,admissions@colum.edu 
Danville Area Community College,admissions@dacc.edu 
DePaul University,admissions@depaul.edu 
Dominican University,admissions@dom.edu 
Eastern Illinois University,admissions@eiu.edu 
Elmhurst College,admissions@elmhurst.edu 
Governors State,admissions@govst.edu 
Greenville College,admissions@greenville.edu 
The Hadley School for the Blind,admissions@hadley.edu 
Harper College,admissions@harpercollege.edu 
Heartland Community College,admissions@heartland.edu 
Illinois Central College,admissions@icc.edu 
Illinois College of Optometry,admissions@ico.edu 
Illinois Institute of Technology,admissions@iit.edu 
University of Illinois at Urbana-Champaign,admissions@illinois.edu 
Illinois State University,admissions@illinoisstate.edu 
Illinois Mathematics and Science Academy,admissions@imsa.edu 
Illinois Valley Community College,admissions@ivcc.edu 
Illinois Wesleyan University,admissions@iwu.edu 
John A. Logan College,admissions@jalc.edu 
Joliet Junior College,admissions@jjc.edu 
The John Marshall Law School,admissions@jmls.edu 
Judson University,admissions@judsonu.edu 
Kaskaskia College,admissions@kaskaskia.edu 
Kankakee Community College,admissions@kcc.edu 
IIT Chicago-Kent College of Law,admissions@iit.edu 
Kishwaukee College,admissions@kishwaukeecollege.edu 
Knox College,admissions@knox.edu 
Lake Forest College,admissions@lakeforest.edu 
Lakeview College of Nursing,admissions@lakeviewcol.edu 
Lewis and Clark Community College,admissions@lc.edu 
Lewis University,admissions@lewisu.edu 
Lincoln Land Community College,admissions@llcc.edu 
Loyola University Chicago,admissions@luc.edu 
Midwestern Career College,admissions@mccollege.edu 
McHenry County College,admissions@mchenry.edu 
McKendree University,admissions@mckendree.edu 
Midwestern University,admissions@midwestern.edu 
Monmouth College,admissions@monmouthcollege.edu 
Moraine Valley Community College,admissions@morainevalley.edu 
Morton College,admissions@morton.edu 
Northeastern Illinois University,admissions@neiu.edu 
Northern Illinois University,admissions@niu.edu 
National Louis University,admissions@nl.edu 
North Park University,admissions@northpark.edu 
Northwestern University,admissions@northwestern.edu 
Oakton Community College,admissions@oakton.edu 
Olivet Nazarene University,admissions@olivet.edu 
Chicago ORT Technical Institute,admissions@ortchicagotech.edu 
Parkland College,admissions@parkland.edu 
Prairie State College,admissions@prairiestate.edu 
Principia College,admissions@principiacollege.edu 
Resurrection University,admissions@resu.edu 
Robert Morris University Illinois,admissions@robertmorris.edu 
Rockford University,admissions@rockford.edu 
Rock Valley College,admissions@rockvalleycollege.edu 
Roosevelt University,admissions@roosevelt.edu 
Rosalind Franklin University,admissions@rosalindfranklin.edu 
Saint Anthony College of Nursing,admissions@sacn.edu 
School of the Art Institute of Chicago,admissions@saic.edu 
Saint Francis Medical Center College of Nursing,admissions@sfmccon.edu 
Shawnee Community College,admissions@shawneecc.edu 
Southeastern Illinois College,admissions@sic.edu 
Southern Illinois University,admissions@siu.edu 
Southern Illinois University Edwardsville,admissions@siue.edu 
Spoon River College,admissions@src.edu 
South Suburban College,admissions@ssc.edu 
University of Saint Francis,admissions@stfrancis.edu 
Southwestern Illinois College,admissions@swic.edu 
Saint Xavier University,admissions@scu.edu 
Trinity Christian College,admissions@trnty.edu 
University of Chicago,admissions@uchicago.edu 
University of Illinois at Chicago,admissions@uic.edu 
University of Illinois,admissions@uillinois.edu 
University of Illinois Springfield,admissions@uis.edu 
University of Illinois at Urbana-Champaign,admissions@illinois.edu 
Waubonsee Community College,admissions@waubonsee.edu 
Wheaton College,admissions@wheaton.edu 
Western Illinois University,admissions@wiu.edu 
Saint John’s College,admissions@stjohnscollegespringfield.edu 
Anabaptist Mennonite Biblical Seminary,admissions@ambs.edu 
Anderson University,admissions@anderson.edu 
Bethel College Indiana,admissions@bethelcollege.edu 
Brown Mackie College,admissions@brownmackie.edu 
Ball State University,admissions@bsu.edu 
Butler University,admissions@butler.edu 
DePauw University,admissions@depauw.edu 
Earlham College,admissions@earlham.edu 
University of Evansville,admissions@evansville.edu 
Goshen College,admissions@goshen.edu 
Grace College and Seminary,admissions@grace.edu 
Hanover College,admissions@hanover.edu 
Harrison College,admissions@harrison.edu 
Holy Cross College,admissions@hcc-nd.edu 
Indiana University,admissions@indiana.edu 
Indiana State University,admissions@indstate.edu 
Indiana Wesleyan University,admissions@indwes.edu 
Indiana University – Purdue University Fort Wayne,admissions@ipfw.edu 
Indiana University,admissions@iu.edu 
Indiana University Bloomington,admissions@iub.edu 
Indiana University East,admissions@iue.edu 
Indiana University Northwest,admissions@iun.edu 
Indiana University – Purdue University Indianapolis,admissions@iupui.edu 
Indiana University Southeast,admissions@ius.edu 
Indiana University South Bend,admissions@iusb.edu 
